UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Penistone Church FC,@pcfc1906,2022-05-24T20:02:02.000Z,"Penistone Church FC
@pcfc1906
·
May 25, 2022","On Sunday we’ll have all screens on the 
@htafc
 @EFL
 Play-Off final against 
@NFFC
 

Can Huddersfield get back into the Premier League ?

It’s a 4:30KO
1",,,,1,['https://pbs.twimg.com/media/FTjHHCdXEAADmG6?format=jpg&name=medium'],https://twitter.com/pcfc1906/status/1529191011053932545
East Midlands Cyber Resilience Centre,@EastMidlandsCRC,2022-05-24T14:47:36.000Z,"East Midlands Cyber Resilience Centre
@EastMidlandsCRC
·
May 24, 2022","In an update to our post urging fans of #MTFC and #NFFC to be cautious of fake ticket sales ahead of the 
@EFL
 play-off finals at 
@wembleystadium
, Forest supporters should now take extra care after their official ticket allocation sold out.

#PlayOffs
emcrc.co.uk
Update: Forest and Stags fans warned to be cautious of bogus play-off tickets online
Two of our region’s football teams are visiting Wembley Stadium this weekend in two separate EFL play-off finals, with Nottingham Forest's ticket allocation having sold out…so we don’t want fans to...
1
1",,,1,1,[],https://twitter.com/EastMidlandsCRC/status/1529111880488439808
Joaquim Fonseca,@Fonseca71J,2022-05-24T20:48:36.000Z,"Joaquim Fonseca
@Fonseca71J
·
May 25, 2022","Chesterfield avança no play-off. Será desta que regressarão à League Two e à EFL?
Chesterfield FC
@ChesterfieldFC
·
May 25, 2022
IT'S OVER!!!!!!!! THE SPIREITES HAVE MADE IT TO THE PLAY-OFF SEMI-FINALS!!!!!! GET IN THERE!!!!!!!!",,,,,"['https://pbs.twimg.com/profile_images/1610772246020202496/MNxMJZPC_normal.jpg', 'https://pbs.twimg.com/media/FTjQ1naXoAIfItL?format=jpg&name=medium']",https://twitter.com/Fonseca71J/status/1529202730409119744
The FSA,@WeAreTheFSA,2022-05-25T11:15:42.000Z,"The FSA
@WeAreTheFSA
·
May 25, 2022","Pitch incursions have been all over our screens in the past week, with a number of incidents in the Premier League, EFL play-off semi-finals, and non-league drawing widespread condemnation. Find out the FSA's take below.
thefsa.org.uk
Pitch incursions - an end of season recap - Football Supporters' Association
9
26
41",,9,26,41,['https://pbs.twimg.com/card_img/1609937556006735880/Sopu71ke?format=jpg&name=medium'],https://twitter.com/WeAreTheFSA/status/1529420940538421248
RokerRoarcom,@RokerRoarcom,2022-05-25T06:12:00.000Z,"RokerRoarcom
@RokerRoarcom
·
May 25, 2022","24 years ago today, #SAFC were involved in one of the great EFL Play-Off Finals as we faced Charlton. Still not over it 
From 
EFL
9
9
86",😢,9,9,86,['https://pbs.twimg.com/amplify_video_thumb/867681366447706113/img/BAE0RlxKmTXLG_B9.jpg'],https://twitter.com/RokerRoarcom/status/1529344512279162880
View From The Kit Room,@vftkitroom,2022-05-25T16:30:00.000Z,"View From The Kit Room
@vftkitroom
·
May 26, 2022","The EFL Championship Play-Off. 46 games, 2 semi finals, and a place in the Premier League up for grabs. Could all be decided by just a single moment.
1
1
13",,1,1,13,['https://pbs.twimg.com/media/FTnNMW-X0AIo6Qn?format=jpg&name=medium'],https://twitter.com/vftkitroom/status/1529500039575379970
Steve Sutherland,@suthersuk,2022-05-25T11:51:55.000Z,"Steve Sutherland
@suthersuk
·
May 25, 2022","The photo on the left was taken 24 years ago today at the old #Wembley before the #CAFC v #SAFC Play-Off Final when I ‘hid’ the Charlton rosette under my 
@EFL
 staff blazer…the photo on the right was taken at Wembley at the 2019 #PlayOffFinal - same opponents, same  rosette!
3
62",,3,,62,['https://pbs.twimg.com/media/FTmgh7eWQAAhUHl?format=jpg&name=medium'],https://twitter.com/suthersuk/status/1529430057466441728
Mirror EFL,@MirrorEFL,2022-05-25T14:02:28.000Z,"Mirror EFL
@MirrorEFL
·
May 25, 2022","Incase you missed it earlier, here's our Championship play-off final preview chat. #EFL 

https://fb.watch/ddY88oFM87/
4
7",,,4,7,[],https://twitter.com/MirrorEFL/status/1529462911630024705
East Midlands Cyber Resilience Centre,@EastMidlandsCRC,2022-05-25T07:49:00.000Z,"East Midlands Cyber Resilience Centre
@EastMidlandsCRC
·
May 25, 2022","ICYMI

In an update to our post urging fans of #MTFC and #NFFC to be cautious of fake ticket sales ahead of the 
@EFL
 play-off finals at 
@wembleystadium
, Forest supporters should now take extra care after their official ticket allocation sold out.
emcrc.co.uk
Update: Forest and Stags fans warned to be cautious of bogus play-off tickets online
Two of our region’s football teams are visiting Wembley Stadium this weekend in two separate EFL play-off finals, with Nottingham Forest's ticket allocation having sold out…so we don’t want fans to...",,,,,[],https://twitter.com/EastMidlandsCRC/status/1529368923325353984
David | Todo Football League,@TodoFL,2022-05-25T09:18:37.000Z,"David | Todo Football League
@TodoFL
·
May 25, 2022","Hace no mucho tiempo James Justin jugaba unos Play-off de League Two a pierna cambiada. Ahí ya empezaba a despuntar y dejar constancia de sus potentes cualidades físicas. 

Otro talento forjado en la EFL 
Luton Town FC
@LutonTown
·
May 24, 2022
Congratulations to @jamesjustin98 who is included in the England squad for the upcoming Nations League fixtures!

Well deserved, JJ 

#COYH
ALT
3
16",💓 🧡,,3,16,"['https://pbs.twimg.com/profile_images/1592206837910233088/ER3qLK3t_normal.jpg', 'https://pbs.twimg.com/media/FThnX2kWIAEgmes?format=jpg&name=medium']",https://twitter.com/TodoFL/status/1529391477599641603
ルカ 루카,@monokuro_66,2022-05-25T20:26:00.000Z,"ルカ 루카
@monokuro_66
·
May 26, 2022","2018/19 League One Play-off Final 
#CHASUN #EFL #LeagueOne #Charlton #CharltonAFC #CAFC #Sunderland #SAFC 

이걸 보고 있었는데 5분에 나비 사르의 자책골 OG 보고 기절 ㅋㅋ 찰튼 아슬레틱 골키퍼 딜런 필립스 에러. 사르의 백패스가 조금 옆으로 왔는데 방심하다 뒤늦게 쫓아서.",🌏 🪐 🍋,,,,[],https://twitter.com/monokuro_66/status/1529559431154872320
Sky Bet League One,@SkyBetLeagueOne,2022-05-26T13:54:31.000Z,"Sky Bet League One
@SkyBetLeagueOne
·
May 26, 2022"," Let's get some early predictions for 2022/23...

 Champions: ___________
 Runners-Up: ___________
 Play-Off winners: ___________

#EFL | #SkyBetLeagueOne
252
93
278",👀 👑 🥈 🏆,252,93,278,['https://pbs.twimg.com/media/FTsGEYZUYAg2ISS?format=jpg&name=medium'],https://twitter.com/SkyBetLeagueOne/status/1529823297558302723
BBC Sport,@BBCSport,2022-05-26T15:35:01.000Z,"BBC Sport
@BBCSport
·
May 26, 2022","The EFL season draws to a close this weekend with the League Two and Championship play-off finals.

But, how much do you remember about the EFL in 2021-22? 

Take the quiz  

#BBCEFL
bbc.co.uk
How much do you remember about the EFL in 2021-22?
4
13
105",🤔 👇,4,13,105,['https://pbs.twimg.com/media/FTscpWfWAAAcQVd?format=png&name=900x900'],https://twitter.com/BBCSport/status/1529848587244515335
Paul NFFC,@_Paul_NFFC,2022-05-26T09:17:11.000Z,"Paul NFFC
@_Paul_NFFC
·
May 26, 2022","EFL Championship Play-Off Final 2022, still just sounds bonkers! 
What a year, win or lose. 10/10! 

The obligatory T’s arrived, now I just need a ticket! 
#JustCantGetEnough #COYR #Believe #NFFC 
1",🌳 🔴 🌳 🔴 🤩,,,1,['https://pbs.twimg.com/media/FTrGs96XwAAC2qP?format=jpg&name=medium'],https://twitter.com/_Paul_NFFC/status/1529753503576510465
Football League World,@FootballLeagueW,2022-05-26T09:38:57.000Z,"Football League World
@FootballLeagueW
·
May 26, 2022","x2 live shows on FLW TV today! 

 12pm: Mansfield Town v Port Vale - The League Two Play-Off final preview show

 4pm: EFL Transfer Zone

WATCH HERE  https://youtube.com/channel/UCfT4DeDPMp99a1zKwSOHqzA…

#Stags #PVFC
2
4",📺 ⏰ ⏰ 👉,,2,4,"['https://pbs.twimg.com/media/FTrLn90WUAE2Sb-?format=jpg&name=medium', 'https://pbs.twimg.com/media/FTrLn93WIAIDfY9?format=jpg&name=medium']",https://twitter.com/FootballLeagueW/status/1529758982625173505
The Sack Race,@thesackrace,2022-05-26T20:08:24.000Z,"The Sack Race
@thesackrace
·
May 27, 2022"," Pete Wild has left Halifax Town after three impressive years, during which he led the club to two National League play-off finishes 

Wild will now ""pursue a new opportunity"" which is expected to be one of the #EFL vacancies.

This is the open letter he left the fans 
1
3
9",📢 📈 📩,1,3,9,['https://pbs.twimg.com/media/FTtaqFwWUB0zf-d?format=jpg&name=medium'],https://twitter.com/thesackrace/status/1529917390271696935
The Pitch,@SoccerPitchTV,2022-05-26T16:49:25.000Z,"The Pitch
@SoccerPitchTV
·
May 27, 2022","EFL Championship play-off Final - Nottingham Forest Vs. Huddersfield
youtube.com
EFL Championship play-off Final - Nottingham Forest Vs. Huddersfield
Who will be triumphant in this years EFL Championship play-off Final - Nottingham Forest or Huddersfield? Get your predictions in the comments and also ideas...
1",,1,,,[],https://twitter.com/SoccerPitchTV/status/1529867312962101248
HattersNippon,@HattersNippon,2022-05-26T13:32:51.000Z,"HattersNippon
@HattersNippon
·
May 26, 2022","County History
14年前の今日は、EFL League One昇格を決めた日です。
Football League Two play-off Final
Stockport 3-2 Rochdale

この試合のMOMは、後にPremier Leagueでも活躍することになる、Anthony Pilkington選手でした。

#ストックポートの歴史
From 
Chris Eaton
5
3",🎩 🎩,,5,3,['https://pbs.twimg.com/ext_tw_video_thumb/1529733458167209984/pu/img/mMJIUYQzYvvqWVWH.jpg'],https://twitter.com/HattersNippon/status/1529817843260223489
HattersNippon,@HattersNippon,2022-05-26T13:32:51.000Z,"HattersNippon
@HattersNippon
·
May 26, 2022","County History
14年前の今日は、EFL League One昇格を決めた日です。
Football League Two play-off Final
Stockport 3-2 Rochdale

この試合のMOMは、後にPremier Leagueでも活躍することになる、Anthony Pilkington選手でした。

#ストックポートの歴史
2:08
1,814 views
From 
Chris Eaton
5
3",🎩 🎩,,5,3,[],https://twitter.com/HattersNippon/status/1529817843260223489
Debs,@Debs90181034,2022-05-27T16:13:52.000Z,"Debs
@Debs90181034
·
May 28, 2022","Official EFL Play-Off Play List #nffc
2
2
7",,2,2,7,['https://pbs.twimg.com/media/FTxvqeTWYAMLDmb?format=jpg&name=900x900'],https://twitter.com/Debs90181034/status/1530220753341251585
Sky Bet,@SkyBet,2022-05-27T14:05:52.000Z,"Sky Bet
@SkyBet
·
May 27, 2022","Wembley...as you've 𝗡𝗘𝗩𝗘𝗥 seen it before 

It's time to #StepUp 

It's time for the 
@EFL
 Play-Off Finals 
35
272
1,291",😮 👊 🏆,35,272,"1,291",['https://pbs.twimg.com/ext_tw_video_thumb/1530186650680184837/pu/img/392mEZMmWYM3OOMx.jpg'],https://twitter.com/SkyBet/status/1530188540453191680
Ben,@BenHolding01,2022-05-27T17:38:26.000Z,"Ben
@BenHolding01
·
May 28, 2022","Wembley looking amazing for a brilliant weekend of Football League action coming up! 

All starts tomorrow with the League 2 Play-Off Final followed by the Championship Play-Off Final on Sunday! 

Bring It On! 

#StepUp #EFLPlayOffs #PlayOffs #EFL #NFFC #HTFC
2",,,,2,"['https://pbs.twimg.com/media/FTyDBUOXEAQB537?format=jpg&name=small', 'https://pbs.twimg.com/media/FTyDBU-WAAAKfFp?format=jpg&name=small', 'https://pbs.twimg.com/media/FTyDBWkWUAM6Bwp?format=jpg&name=small', 'https://pbs.twimg.com/media/FTyDBYOXEAIije9?format=jpg&name=small']",https://twitter.com/BenHolding01/status/1530242037085347843
Adam,@SunlunAdam,2022-05-27T21:54:56.000Z,"Adam
@SunlunAdam
·
May 28, 2022","More excited for the Play-off final than the UCL final. Just love the Championship.
#EFL
1
9",🔱,1,,9,[],https://twitter.com/SunlunAdam/status/1530306586731810818
Black Cat Fireworks,@BlkCatFireworks,2022-05-27T10:35:49.000Z,"Black Cat Fireworks
@BlkCatFireworks
·
May 27, 2022"," It's a huge weekend for Huddersfield's sports teams & we'd like to wish 
@Giantsrl
 all the very best in 
@TheChallengeCup
 final vs. Wigan Warriors and 
@htafc
 all the very best in their 
@EFL
 Championship play-off final against Notts Forest! #htafc #CowbellArmy
1
2",⚽ 🏉,,1,2,['https://pbs.twimg.com/media/FTwiO1kWUAA2PdB?format=jpg&name=medium'],https://twitter.com/BlkCatFireworks/status/1530135678830448640
Leon Wobschall,@LeonWobYP,2022-05-27T16:09:50.000Z,"Leon Wobschall
@LeonWobYP
·
May 28, 2022","From West Ham rejection, JD Sports & the building site to a sneaky pizza & chips, Wales & a play-off final

The story of Huddersfield Town's Sorba Thomas has been one of the most special in the EFL for a good while

A glorious chapter to come? #htafc
yorkshirepost.co.uk
How Huddersfield's Sorba Thomas went from life at JD Sports to verge of Premier League
SORBA THOMAS might just pull back the curtains in his hotel room tomorrow morning and look at the famous Wembley Arch and think of how far he has come.
2
3",🔵 ⚪,2,,3,['https://pbs.twimg.com/card_img/1609978912171245570/VfCQL70B?format=jpg&name=medium'],https://twitter.com/LeonWobYP/status/1530219738139348994
jasperdylan,@jasperdtomkins,2022-05-27T15:03:33.000Z,"jasperdylan
@jasperdtomkins
·
May 27, 2022","Match info:

 
@wembleystadium
  
 @EFL
 Championship Play-off FINAL!
 Sunday 29 May
 4:30pm (BST)
REF: Jon Moss  
VAR: Paul Tierney  
 
@SkyFootball
 
 @talkSPORT
 
@htafc
  @NFFC
 

£170M????
1",🏟 🏆 📅 🕓 📺 🎙 🆚,,,1,[],https://twitter.com/jasperdtomkins/status/1530203056641658888
EFL,@EFL,2022-05-27T10:33:55.000Z,"EFL
@EFL
·
May 27, 2022"," Next up: The 
@SkyBetLeagueTwo
 Play-Off Final!

 Here's all you need to know: 

#EFLPlayOffs | #StepUp
efl.com
All you need to know ahead of Sky Bet League Two Play-Off Final - Mansfield Town v Port Vale
A bumper weekend is on the way at Wembley Stadium, beginning with Saturday's Sky Bet League Two Play-Off Final.
1
18",🔜 ℹ 👇,,1,18,['https://pbs.twimg.com/card_img/1609732169219424258/L1Ss1tPd?format=jpg&name=medium'],https://twitter.com/EFL/status/1530135202995085313
Sport Playlists,@SportPlaylists,2022-05-27T16:05:00.000Z,"Sport Playlists
@SportPlaylists
·
May 28, 2022","Get your #EFLPlayoffs build up started with the Official 
@EFL
 Playlist ahead of the 
@SkyBetLeagueTwo
 Play-Off Final tomorrow #StepUp #Stags #PVFC 

https://spoti.fi/3wzAw3c",,,,,['https://pbs.twimg.com/media/FTxomiGWIAA0t91?format=jpg&name=medium'],https://twitter.com/SportPlaylists/status/1530218521686265857
East Midlands Cyber Resilience Centre,@EastMidlandsCRC,2022-05-27T11:04:00.000Z,"East Midlands Cyber Resilience Centre
@EastMidlandsCRC
·
May 27, 2022","As the 
@EFL
 play-off finals edge ever closer, and fans of 
@mansfieldtownfc
 and especially 
@NFFC
 look for alternative routes for ticket sales, we once again urge caution: don't become a victim of #TicketFraud! 

#PlayOffs | #MTFC | #NFFC | #NFFCTickets
emcrc.co.uk
Update: Forest and Stags fans warned to be cautious of bogus play-off tickets online
Two of our region’s football teams are visiting Wembley Stadium this weekend in two separate EFL play-off finals, with Nottingham Forest's ticket allocation having sold out…so we don’t want fans to...",🎟,,,,[],https://twitter.com/EastMidlandsCRC/status/1530142772883296260
The Matchday Man,@TheMatchdayMan,2022-05-27T16:00:54.000Z,"The Matchday Man
@TheMatchdayMan
·
May 28, 2022","Mansfield Town take on Port Vale in the League Two Play-Off Final.

For any supporters making the trip to Wembley Stadium, all the information you need can be found on The Matchday Man Stadium Guide.
#Stags #PVFC #EFL 

https://thematchdayman.com/wembley-stadium
2",,,,2,['https://pbs.twimg.com/media/FTxsshcWUAERd_o?format=jpg&name=small'],https://twitter.com/TheMatchdayMan/status/1530217490105651202
Standard Fireworks,@stndfireworks,2022-05-27T11:30:00.000Z,"Standard Fireworks
@stndfireworks
·
May 27, 2022"," It's a huge weekend for Huddersfield's sports teams & we'd like to wish 
@Giantsrl
 all the very best in 
@TheChallengeCup
 final vs. Wigan Warriors and 
@htafc
 all the very best in their 
@EFL
 Championship play-off final against Notts Forest! #htafc #CowbellArmy #HuddersfieldBorn
1",⚽ 🏉,,,1,['https://pbs.twimg.com/media/FTwimdyXoAAFgyV?format=jpg&name=medium'],https://twitter.com/stndfireworks/status/1530149315452186624
Will,@WillBeckman_,2022-05-27T16:32:58.000Z,"Will
@WillBeckman_
·
May 28, 2022","National League play-off semis this weekend. 
@ianherbs
 sets the scene for Wrexham's Ryan Reynolds-inspired bid to return to the EFL: https://mailplus.co.uk/edition/sport/185883/its-crunch-time-for-wrexham-in-their-bid-for-hollywood-ending-and-a-place-back-in-the-football-league?collection=9893&&contentLayout=5pm%20Update… #WxmAFC
mailplus.co.uk
It's crunch time for Wrexham in their bid for Hollywood ending and a place back in the Football...
1",,,,1,[],https://twitter.com/WillBeckman_/status/1530225562572230656
Nigel Seeley,@seeley_nigel,2022-05-27T16:05:04.000Z,"Nigel Seeley
@seeley_nigel
·
May 28, 2022","League Two and Championship play-off Finals this weekend and I spoke to 
@EFL
 expert 
@GeorgeElek
 as we broke down the best bets on both matches on the 
@BRNPodcasts
   youtube.com
English League Championship Predictions [League 1 & 2 Play Off...
Get your EF picks & predictions for the League 1 play off final from Betting Weekly™! The 2021/22 League 1 play off final offers Sunderland a chance at a Cha...
1
3",⚽ 💰,1,,3,[],https://twitter.com/seeley_nigel/status/1530218539604496391
